date,_pm25,year,month,day,PM25,Date
9/2/2016,79,2016,9,2,43.04166667,9/2/2016
9/3/2016,30,2016,9,3,38.43666667,9/3/2016
9/4/2016,28,2016,9,4,27.55833333,9/4/2016
9/5/2016,41,2016,9,5,21.53333333,9/5/2016
9/6/2016,47,2016,9,6,23.87166667,9/6/2016
9/7/2016,57,2016,9,7,23.51666667,9/7/2016
9/8/2016,50,2016,9,8,27.3,9/8/2016
9/9/2016,71,2016,9,9,32.39833333,9/9/2016
9/10/2016,77,2016,9,10,33.90166667,9/10/2016
9/11/2016,66,2016,9,11,32.69833333,9/11/2016
9/12/2016,69,2016,9,12,21.33333333,9/12/2016
9/13/2016,62,2016,9,13,16.67446809,9/13/2016
9/14/2016,46,2016,9,14,20.07666667,9/14/2016
9/15/2016,55,2016,9,15,27.07833333,9/15/2016
9/16/2016,90,2016,9,16,28.515,9/16/2016
9/17/2016,72,2016,9,17,26.14333333,9/17/2016
9/18/2016,73,2016,9,18,25.39833333,9/18/2016
9/19/2016,78,2016,9,19,21.85333333,9/19/2016
9/20/2016,75,2016,9,20,17.98666667,9/20/2016
9/21/2016,93,2016,9,21,17.61833333,9/21/2016
9/22/2016,98,2016,9,22,14.93666667,9/22/2016
9/23/2016,81,2016,9,23,13.32,9/23/2016
9/24/2016,83,2016,9,24,14.29333333,9/24/2016
9/25/2016,73,2016,9,25,15.445,9/25/2016
9/26/2016,81,2016,9,26,15.34166667,9/26/2016
9/27/2016,85,2016,9,27,15.70166667,9/27/2016
9/28/2016,86,2016,9,28,16.28666667,9/28/2016
9/29/2016,96,2016,9,29,16.05166667,9/29/2016
9/30/2016,85,2016,9,30,15.275,9/30/2016
10/1/2016,98,2016,10,1,15.46,10/1/2016
4/2/2016,67,2016,4,2,16.61833333,4/2/2016
4/3/2016,70,2016,4,3,22.53,4/3/2016
4/4/2016,73,2016,4,4,23.71272727,4/4/2016
4/5/2016,68,2016,4,5,18.4969697,4/5/2016
4/6/2016,72,2016,4,6,20.72166667,4/6/2016
4/7/2016,70,2016,4,7,28.44666667,4/7/2016
4/8/2016,67,2016,4,8,32,4/8/2016
4/9/2016,68,2016,4,9,29.945,4/9/2016
4/10/2016,64,2016,4,10,16.40333333,4/10/2016
4/11/2016,75,2016,4,11,18.12833333,4/11/2016
4/12/2016,85,2016,4,12,26.07833333,4/12/2016
4/13/2016,86,2016,4,13,25.43,4/13/2016
4/14/2016,94,2016,4,14,19.20666667,4/14/2016
4/15/2016,97,2016,4,15,17.04333333,4/15/2016
4/16/2016,111,2016,4,16,14.71666667,4/16/2016
4/17/2016,101,2016,4,17,13.68666667,4/17/2016
4/18/2016,95,2016,4,18,13.43,4/18/2016
4/19/2016,83,2016,4,19,15.72166667,4/19/2016
4/20/2016,68,2016,4,20,21.86,4/20/2016
4/21/2016,75,2016,4,21,19.15,4/21/2016
4/22/2016,66,2016,4,22,15.765,4/22/2016
4/23/2016,55,2016,4,23,12.89833333,4/23/2016
4/24/2016,50,2016,4,24,19.02833333,4/24/2016
4/25/2016,58,2016,4,25,35.97833333,4/25/2016
4/26/2016,59,2016,4,26,32.02,4/26/2016
4/27/2016,51,2016,4,27,35.30666667,4/27/2016
4/28/2016,62,2016,4,28,27.935,4/28/2016
4/29/2016,59,2016,4,29,24.235,4/29/2016
4/30/2016,48,2016,4,30,20.15384615,4/30/2016
5/1/2016,66,2016,5,1,18.44666667,5/1/2016
5/2/2016,64,2016,5,2,17.285,5/2/2016
5/3/2016,57,2016,5,3,18.32166667,5/3/2016
5/4/2016,48,2016,5,4,20.365,5/4/2016
5/5/2016,59,2016,5,5,20.925,5/5/2016
5/6/2016,59,2016,5,6,20.95333333,5/6/2016
5/7/2016,57,2016,5,7,16.36833333,5/7/2016
5/8/2016,71,2016,5,8,15.89333333,5/8/2016
5/9/2016,46,2016,5,9,17.93,5/9/2016
5/10/2016,48,2016,5,10,20.828125,5/10/2016
5/11/2016,52,2016,5,11,15.325,5/11/2016
5/12/2016,53,2016,5,12,16.16271186,5/12/2016
5/13/2016,53,2016,5,13,17.62833333,5/13/2016
5/14/2016,68,2016,5,14,19.78333333,5/14/2016
5/15/2016,69,2016,5,15,21.01833333,5/15/2016
5/16/2016,71,2016,5,16,21.19333333,5/16/2016
5/17/2016,108,2016,5,17,19.12542373,5/17/2016
5/18/2016,112,2016,5,18,15.095,5/18/2016
5/19/2016,114,2016,5,19,13.69833333,5/19/2016
5/20/2016,132,2016,5,20,14.58666667,5/20/2016
5/21/2016,109,2016,5,21,14.93166667,5/21/2016
5/22/2016,117,2016,5,22,15.65333333,5/22/2016
5/23/2016,90,2016,5,23,16.435,5/23/2016
5/24/2016,81,2016,5,24,17.49166667,5/24/2016
5/25/2016,65,2016,5,25,18.75,5/25/2016
5/26/2016,63,2016,5,26,19.25333333,5/26/2016
5/27/2016,71,2016,5,27,19.99333333,5/27/2016
5/28/2016,65,2016,5,28,23.56166667,5/28/2016
5/29/2016,69,2016,5,29,22.39666667,5/29/2016
5/30/2016,68,2016,5,30,22.09166667,5/30/2016
5/31/2016,70,2016,5,31,24.61833333,5/31/2016
6/1/2016,86,2016,6,1,30.70666667,6/1/2016
6/2/2016,84,2016,6,2,39.64666667,6/2/2016
6/3/2016,60,2016,6,3,44.55333333,6/3/2016
6/4/2016,69,2016,6,4,43.88333333,6/4/2016
6/5/2016,76,2016,6,5,32.69333333,6/5/2016
6/6/2016,79,2016,6,6,29.66166667,6/6/2016
6/7/2016,76,2016,6,7,31.03333333,6/7/2016
6/8/2016,72,2016,6,8,29.58918919,6/8/2016
6/9/2016,85,2016,6,9,32.80833333,6/9/2016
6/10/2016,105,2016,6,10,27.645,6/10/2016
6/11/2016,80,2016,6,11,20.80166667,6/11/2016
6/12/2016,97,2016,6,12,21.22666667,6/12/2016
6/15/2016,66,2016,6,15,23.80166667,6/15/2016
6/16/2016,65,2016,6,16,24.87833333,6/16/2016
6/17/2016,69,2016,6,17,22.56333333,6/17/2016
6/18/2016,110,2016,6,18,19.54,6/18/2016
6/19/2016,71,2016,6,19,17.69833333,6/19/2016
6/20/2016,96,2016,6,20,17.10333333,6/20/2016
6/21/2016,87,2016,6,21,17.6,6/21/2016
6/22/2016,88,2016,6,22,18.46,6/22/2016
6/23/2016,54,2016,6,23,17.55333333,6/23/2016
6/24/2016,68,2016,6,24,18.01166667,6/24/2016
6/25/2016,129,2016,6,25,18.7,6/25/2016
6/26/2016,103,2016,6,26,23.89333333,6/26/2016
6/27/2016,76,2016,6,27,37.865,6/27/2016
6/28/2016,80,2016,6,28,39.43,6/28/2016
6/29/2016,56,2016,6,29,36.60333333,6/29/2016
6/30/2016,49,2016,6,30,30.7637931,6/30/2016
7/1/2016,60,2016,7,1,25.14333333,7/1/2016
2/12/2016,68,2016,2,12,34.95666667,2/12/2016
2/13/2016,54,2016,2,13,38.68888889,2/13/2016
2/14/2016,54,2016,2,14,42.31290323,2/14/2016
2/15/2016,54,2016,2,15,53.98166667,2/15/2016
2/16/2016,59,2016,2,16,36.40166667,2/16/2016
2/17/2016,95,2016,2,17,29.14166667,2/17/2016
